id,time,temperature_2m,relative_humidity_2m,wind_speed_10m,data_type,relative_humidity_6m,temperature_4m,wind_speed_15m,temperature_5m,relative_humidity_4m,wind_speed_12m,temperature_7m
280,2025-10-24 08:17:35.886067,11.2,69.0,13.2,hourly,0,0,0,0,0,0,0
281,2025-10-24 08:17:35.886067,10.8,70.0,12.1,hourly,0,0,0,0,0,0,0
282,2025-10-24 08:17:35.886067,10.5,74.0,13.0,hourly,0,0,0,0,0,0,0
283,2025-10-24 08:17:35.886067,9.7,83.0,14.6,hourly,0,0,0,0,0,0,0
284,2025-10-24 08:17:35.886067,9.4,88.0,14.4,hourly,0,0,0,0,0,0,0
285,2025-10-24 08:17:35.886067,10.2,87.0,15.8,hourly,0,0,0,0,0,0,0
286,2025-10-24 08:17:35.886067,10.8,82.0,16.9,hourly,0,0,0,0,0,0,0
287,2025-10-24 08:17:35.886067,10.7,78.0,18.4,hourly,0,0,0,0,0,0,0
288,2025-10-24 08:17:35.886067,10.4,76.0,16.9,hourly,0,0,0,0,0,0,0
289,2025-10-24 08:17:35.886067,10.0,75.0,15.8,hourly,0,0,0,0,0,0,0
290,2025-10-24 08:17:35.886067,9.6,74.0,15.5,hourly,0,0,0,0,0,0,0
291,2025-10-24 08:17:35.886067,9.1,73.0,14.8,hourly,0,0,0,0,0,0,0
292,2025-10-24 08:17:35.886067,8.7,75.0,13.7,hourly,0,0,0,0,0,0,0
293,2025-10-24 08:17:35.886067,8.6,72.0,12.4,hourly,0,0,0,0,0,0,0
294,2025-10-24 08:17:35.886067,8.1,73.0,13.0,hourly,0,0,0,0,0,0,0
295,2025-10-24 08:17:35.886067,7.6,73.0,12.8,hourly,0,0,0,0,0,0,0
296,2025-10-24 08:17:35.886067,7.1,73.0,12.8,hourly,0,0,0,0,0,0,0
297,2025-10-24 08:17:35.886067,7.5,69.0,13.8,hourly,0,0,0,0,0,0,0
298,2025-10-24 08:17:35.886067,8.3,60.0,16.8,hourly,0,0,0,0,0,0,0
299,2025-10-24 08:17:35.886067,9.0,55.0,17.8,hourly,0,0,0,0,0,0,0
300,2025-10-24 08:17:35.886067,10.0,49.0,19.8,hourly,0,0,0,0,0,0,0
301,2025-10-24 08:17:35.886067,10.4,47.0,19.4,hourly,0,0,0,0,0,0,0
302,2025-10-24 08:17:35.886067,9.7,53.0,20.1,hourly,0,0,0,0,0,0,0
303,2025-10-24 08:17:35.886067,8.3,63.0,20.6,hourly,0,0,0,0,0,0,0
304,2025-10-24 08:17:35.886067,7.2,72.0,20.9,hourly,0,0,0,0,0,0,0
305,2025-10-24 08:17:35.886067,6.5,77.0,19.9,hourly,0,0,0,0,0,0,0
306,2025-10-24 08:17:35.886067,6.1,81.0,18.7,hourly,0,0,0,0,0,0,0
307,2025-10-24 08:17:35.886067,6.1,83.0,17.3,hourly,0,0,0,0,0,0,0
308,2025-10-24 08:17:35.886067,6.8,84.0,16.8,hourly,0,0,0,0,0,0,0
309,2025-10-24 08:17:35.886067,8.1,83.0,18.0,hourly,0,0,0,0,0,0,0
310,2025-10-24 08:17:35.886067,8.9,81.0,19.4,hourly,0,0,0,0,0,0,0
311,2025-10-24 08:17:35.886067,9.1,79.0,19.4,hourly,0,0,0,0,0,0,0
312,2025-10-24 08:17:35.886067,9.0,76.0,18.7,hourly,0,0,0,0,0,0,0
313,2025-10-24 08:17:35.886067,8.7,73.0,18.5,hourly,0,0,0,0,0,0,0
314,2025-10-24 08:17:35.886067,8.5,71.0,18.6,hourly,0,0,0,0,0,0,0
315,2025-10-24 08:17:35.886067,8.1,70.0,18.7,hourly,0,0,0,0,0,0,0
316,2025-10-24 08:17:35.886067,7.7,69.0,18.5,hourly,0,0,0,0,0,0,0
317,2025-10-24 08:17:35.886067,7.2,69.0,17.7,hourly,0,0,0,0,0,0,0
318,2025-10-24 08:17:35.886067,6.7,70.0,16.9,hourly,0,0,0,0,0,0,0
319,2025-10-24 08:17:35.886067,6.4,71.0,15.9,hourly,0,0,0,0,0,0,0
320,2025-10-24 08:17:35.886067,6.5,71.0,15.1,hourly,0,0,0,0,0,0,0
321,2025-10-24 08:17:35.886067,6.8,71.0,14.0,hourly,0,0,0,0,0,0,0
322,2025-10-24 08:17:35.886067,7.2,70.0,13.5,hourly,0,0,0,0,0,0,0
323,2025-10-24 08:17:35.886067,7.9,67.0,13.3,hourly,0,0,0,0,0,0,0
324,2025-10-24 08:17:35.886067,8.6,64.0,13.1,hourly,0,0,0,0,0,0,0
325,2025-10-24 08:17:35.886067,9.1,62.0,13.2,hourly,0,0,0,0,0,0,0
326,2025-10-24 08:17:35.886067,9.2,63.0,12.2,hourly,0,0,0,0,0,0,0
327,2025-10-24 08:17:35.886067,9.0,67.0,10.7,hourly,0,0,0,0,0,0,0
328,2025-10-24 08:17:35.886067,8.7,70.0,9.7,hourly,0,0,0,0,0,0,0
